,dport,sport,num_packets up,total_bytes up,min_pkt_size up,max_pkt_size up,mean_pkt_size up,std_pkt_size up,min_iat up,max_iat up,mean_iat up,std_iat up,num_packets down,total_bytes down,min_pkt_size down,max_pkt_size down,mean_pkt_size down,std_pkt_size down,min_iat down,max_iat down,mean_iat down,std_iat down,website
0,443.0,54616.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,6e-06,0.015561,0.0022189411764705885,0.004051728481009498,16.0,4855.0,52.0,2948.0,303.4375,716.1360176903081,1.0000000000000002e-06,0.014961,0.0023727333333333337,0.004287272000879325,dailymail.co.uk
1,443.0,54632.0,19.0,1808.0,40.0,569.0,95.15789473684211,117.95256257302707,1.4000000000000001e-05,0.011460000000000001,0.0016843333333333337,0.0030817611275144,17.0,4909.0,52.0,2948.0,288.7647058823529,696.060389748239,1.0000000000000002e-06,0.009911000000000001,0.0017933125000000004,0.0031886822924995215,dailymail.co.uk
2,443.0,54646.0,19.0,1808.0,40.0,569.0,95.15789473684211,117.95256257302707,4.000000000000001e-06,0.006332000000000001,0.0012111666666666668,0.001992228821313101,17.0,4908.0,52.0,2948.0,288.70588235294116,696.0662472697804,1.0000000000000002e-06,0.007412,0.0012938124999999998,0.0022625266177071454,dailymail.co.uk
3,443.0,54666.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,3e-06,0.006582,0.0014710588235294121,0.002216814225149128,15.0,4804.0,52.0,2948.0,320.26666666666665,738.005561987042,1.0000000000000002e-06,0.007915,0.0016896428571428577,0.002558300355468687,dailymail.co.uk
4,443.0,54694.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,4.000000000000001e-06,0.008251,0.0016115294117647059,0.002522544427697138,16.0,4856.0,52.0,2948.0,303.5,716.1284800927833,0.0,0.008245,0.0017233999999999997,0.0028481057564634076,dailymail.co.uk
5,443.0,54698.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,5e-06,0.011406000000000001,0.002157470588235294,0.0036150732378066536,16.0,4857.0,52.0,2948.0,303.5625,716.1210296916762,1.0000000000000002e-06,0.011093,0.002353,0.0038768079100502994,dailymail.co.uk
6,443.0,54716.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,4.000000000000001e-06,0.009366000000000001,0.0020340000000000002,0.0031976318581099987,16.0,4855.0,52.0,2948.0,303.4375,716.1360176903081,1.0000000000000002e-06,0.009357,0.0021967333333333334,0.0034105410225749623,dailymail.co.uk
7,443.0,54734.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,9e-06,0.006665000000000001,0.0013688235294117646,0.002167882037706795,16.0,4855.0,52.0,2948.0,303.4375,716.1360176903081,0.0,0.007743000000000001,0.0014672666666666666,0.002508525647429088,dailymail.co.uk
8,443.0,54750.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,9e-06,0.009546,0.001629529411764706,0.0026913065163050236,16.0,4856.0,52.0,2948.0,303.5,716.1284800927833,0.0,0.010794000000000002,0.0017558666666666668,0.0031161235274127443,dailymail.co.uk
9,443.0,54770.0,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,6e-06,0.024611,0.0027223529411764705,0.0059786191125248194,16.0,4857.0,52.0,2948.0,303.5625,716.1210296916762,1.0000000000000002e-06,0.025668000000000003,0.003015266666666667,0.006588818065118972,dailymail.co.uk
10,443.0,46644.0,80.0,4976.0,40.0,569.0,62.2,59.21263977277777,4.000000000000001e-06,0.020373000000000002,0.002196101265822786,0.004460370973403781,81.0,857541.0,52.0,56898.0,10586.925925925925,13086.608160422787,0.0,0.020367,0.0021382249999999992,0.004478720338755794,news18.com
11,443.0,46652.0,118.0,6964.0,40.0,569.0,59.016949152542374,48.86349082814192,4.000000000000001e-06,0.021839,0.0018452307692307691,0.004660250585952722,130.0,860560.0,52.0,16458.0,6619.692307692308,7084.206545916891,0.0,0.021852,0.001657868217054264,0.0044806736944275555,news18.com
12,443.0,46658.0,91.0,5548.0,40.0,569.0,60.967032967032964,55.57686380129577,5e-06,0.046876,0.006472744444444445,0.0115735587454802,117.0,859757.0,52.0,29968.0,7348.350427350428,7637.628022874457,1.0000000000000002e-06,0.046803000000000004,0.0050128879310344845,0.010519426138895555,news18.com
13,443.0,46668.0,94.0,5704.0,40.0,569.0,60.680851063829785,54.69607380416328,5e-06,0.017943,0.0018156989247311833,0.003999952499133573,104.0,858974.0,52.0,49539.0,8259.365384615385,9493.035347960373,0.0,0.017918,0.001622223300970874,0.0038220804029364124,news18.com
14,443.0,46674.0,101.0,6068.0,40.0,569.0,60.07920792079208,52.79350019998982,6e-06,0.025769,0.0020989900000000002,0.004970898777531547,120.0,860032.0,52.0,33065.0,7166.933333333333,7804.740922635921,0.0,0.024615,0.001754008403361345,0.0045695572635294284,news18.com
15,443.0,46696.0,122.0,7160.0,40.0,569.0,58.68852459016394,48.091696499347464,4.000000000000001e-06,0.030038000000000002,0.0022506033057851232,0.005644011093597856,138.0,861065.0,52.0,16458.0,6239.601449275362,6719.600494880691,0.0,0.030026,0.0019748029197080266,0.0053479535088604285,news18.com
16,443.0,46716.0,108.0,6444.0,40.0,569.0,59.666666666666664,51.04661604206268,5e-06,0.020062,0.0018908504672897192,0.004355336676117552,127.0,860391.0,52.0,25758.0,6774.7322834645665,7019.35580462239,0.0,0.020022,0.0015922063492063503,0.004084815754606243,news18.com
