,dport,sport,num_packets down,total_bytes down,min_pkt_size down,max_pkt_size down,mean_pkt_size down,std_pkt_size down,min_iat down,max_iat down,mean_iat down,std_iat down,num_packets up,total_bytes up,min_pkt_size up,max_pkt_size up,mean_pkt_size up,std_pkt_size up,min_iat up,max_iat up,mean_iat up,std_iat up,website
0,443.0,45578.0,16.0,4856.0,52.0,2948.0,303.5,716.1284800927833,0.0,0.00783,0.0011788,0.0021322612142310998,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,4.000000000000001e-06,0.006451,0.001165294117647059,0.001761439992048618,dailymail.co.uk
1,443.0,45596.0,16.0,4857.0,52.0,2948.0,303.5625,716.1210296916762,1.0000000000000002e-06,0.012438000000000001,0.001844,0.0034111800429930824,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,7.000000000000001e-06,0.011057,0.001706235294117647,0.0029112691718864592,dailymail.co.uk
2,443.0,45626.0,15.0,4803.0,52.0,2948.0,320.2,738.0150211402013,1.0000000000000002e-06,0.007831000000000001,0.0013493571428571432,0.002313216894521329,19.0,1808.0,40.0,569.0,95.15789473684211,117.95256257302707,4.000000000000001e-06,0.006357000000000001,0.0011353333333333335,0.0018062938331746324,dailymail.co.uk
3,443.0,45664.0,17.0,4930.0,52.0,2948.0,290.0,694.4060411603574,1.0000000000000002e-06,0.012148,0.0016826875000000008,0.0032449800763384258,19.0,1820.0,40.0,569.0,95.78947368421052,117.67260558542569,6e-06,0.011018,0.0015548333333333334,0.002837925966990268,dailymail.co.uk
4,443.0,45696.0,17.0,4908.0,52.0,2948.0,288.70588235294116,696.0662472697804,1.0000000000000002e-06,0.007307,0.00105475,0.0020588870942008126,19.0,1808.0,40.0,569.0,95.15789473684211,117.95256257302707,4.000000000000001e-06,0.006267,0.0009974444444444442,0.0017519076399984581,dailymail.co.uk
5,443.0,45740.0,17.0,4931.0,52.0,2948.0,290.05882352941177,694.4000531563413,0.0,0.013056000000000002,0.0022883125000000004,0.004321604821031959,19.0,1820.0,40.0,569.0,95.78947368421052,117.67260558542569,6e-06,0.013101000000000002,0.002122833333333333,0.003900534733325978,dailymail.co.uk
6,443.0,45770.0,16.0,4857.0,52.0,2948.0,303.5625,716.1210296916762,1.0000000000000002e-06,0.032129000000000005,0.0030273333333333346,0.008192298366381044,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,6e-06,0.030938,0.0027407058823529415,0.007395473951721298,dailymail.co.uk
7,443.0,45800.0,16.0,4855.0,52.0,2948.0,303.4375,716.1360176903081,0.0,0.008181,0.0012572666666666667,0.0023196583635978654,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,3e-06,0.0065190000000000005,0.0012064705882352943,0.0018793490933580923,dailymail.co.uk
8,443.0,45812.0,17.0,4930.0,52.0,2948.0,290.0,694.4060411603574,1.0000000000000002e-06,0.007973000000000001,0.0011672499999999997,0.002043395099664608,19.0,1820.0,40.0,569.0,95.78947368421052,117.67260558542569,8.000000000000001e-06,0.006567000000000001,0.0011151111111111112,0.0017838556354437922,dailymail.co.uk
9,443.0,45822.0,16.0,4856.0,52.0,2948.0,303.5,716.1284800927833,0.0,0.007818,0.0014072666666666666,0.002272761770768478,18.0,1768.0,40.0,569.0,98.22222222222223,120.59146177733635,4.000000000000001e-06,0.006318000000000001,0.0013281176470588236,0.0019401427422471053,dailymail.co.uk
10,443.0,43226.0,89.0,876831.0,52.0,56524.0,9852.033707865168,13617.574682647684,0.0,0.012533,0.0015293636363636364,0.0031868904932039915,83.0,5132.0,40.0,569.0,61.83132530120482,58.15094304902068,3e-06,0.013970000000000002,0.0016680609756097567,0.0032977480357582172,news18.com
11,443.0,43258.0,83.0,876503.0,52.0,56524.0,10560.277108433735,14028.639920093474,1.0000000000000002e-06,0.013144000000000001,0.0015345121951219512,0.003112339623490375,78.0,4872.0,40.0,569.0,62.46153846153846,59.953595108496906,7.000000000000001e-06,0.012568000000000001,0.0016546753246753246,0.003121733789695276,news18.com
12,443.0,43318.0,82.0,876120.0,52.0,56524.0,10684.390243902439,14335.735421248952,0.0,0.010845,0.0013926049382716047,0.00275944577170404,68.0,4352.0,40.0,569.0,64.0,64.12627468111344,5e-06,0.010832000000000001,0.0017029999999999997,0.0029352606925677547,news18.com
13,443.0,43358.0,104.0,881954.0,52.0,39148.0,8480.326923076924,9504.568823120957,0.0,0.012616,0.0010965145631067967,0.002701161260309647,79.0,5008.0,52.0,569.0,63.392405063291136,59.39857067293504,6e-06,0.012620000000000001,0.0014635641025641031,0.0029755615102081663,news18.com
14,443.0,43384.0,76.0,881644.0,52.0,56524.0,11600.578947368422,15260.583967212753,0.0,0.012147000000000002,0.0016554666666666672,0.0030633619022479444,78.0,4932.0,40.0,569.0,63.23076923076923,59.89057621096264,8.000000000000001e-06,0.012156,0.0016373506493506489,0.002970502645602671,news18.com
15,443.0,43440.0,75.0,875659.0,52.0,56524.0,11675.453333333333,15968.283480237484,1.0000000000000002e-06,0.010193,0.0015850000000000007,0.002773514727778723,68.0,4352.0,40.0,569.0,64.0,64.12627468111344,7.000000000000001e-06,0.010194,0.0017875223880597017,0.0028159017843915773,news18.com
16,443.0,43462.0,125.0,879177.0,52.0,38861.0,7033.416,8060.231543524402,0.0,1.4549690000000002,0.013256217741935474,0.13063416147459928,112.0,6640.0,40.0,569.0,59.285714285714285,50.167544257044405,5e-06,1.456466,0.01482846846846847,0.1381935495252825,news18.com
